go test -v -benchmem -run=^$ -bench=. ./...
goos: linux
goarch: amd64
pkg: github.com/cep21/tdigestbench
BenchmarkTdigest_TotalSize/digest=caio-8         	     100	  10702530 ns/op	   17920 B/op	      11 allocs/op
BenchmarkTdigest_TotalSize/digest=segmentio-8    	     424	   2850477 ns/op	 1380188 B/op	   54778 allocs/op
BenchmarkTdigest_Add/source=linear/digest=caio-8 	 1299153	       932 ns/op	      33 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=linear/digest=segmentio-8         	 1000000	      5674 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=rand/digest=caio-8                	 3973735	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=rand/digest=segmentio-8           	 2212902	       827 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=caio-8         	 1000000	      1772 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=segmentio-8    	 1000000	      3053 ns/op	    1550 B/op	      10 allocs/op
BenchmarkTdigest_Add/source=normal/digest=caio-8              	 3948990	       320 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=normal/digest=segmentio-8         	 2184526	       865 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=caio-8           	 3871680	       323 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=segmentio-8      	 2069173	       813 ns/op	       8 B/op	       1 allocs/op
BenchmarkCorrectness/size=1000000/source=normal/digest=caio/quant=0.500000-8                	1000000000	         0.0613 ns/op	         0.000060 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=normal/digest=caio/quant=0.900000-8                	1000000000	         0.0610 ns/op	         0.000037 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=normal/digest=caio/quant=0.990000-8                	1000000000	         0.0623 ns/op	         0.000028 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=normal/digest=caio/quant=0.999000-8                	1000000000	         0.0621 ns/op	         0.000366 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=normal/digest=segmentio/quant=0.000000-8           	1000000000	         0.0608 ns/op	         0.119 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=normal/digest=segmentio/quant=0.100000-8           	1000000000	         0.0608 ns/op	         0.00240 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=normal/digest=segmentio/quant=0.500000-8           	1000000000	         0.0611 ns/op	         0.00123 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=normal/digest=segmentio/quant=0.900000-8           	1000000000	         0.0608 ns/op	         0.00440 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=normal/digest=segmentio/quant=0.990000-8           	1000000000	         0.0607 ns/op	         0.0149 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=normal/digest=segmentio/quant=0.999000-8           	1000000000	         0.0635 ns/op	         0.00241 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.000000-8             	1000000000	         0.0608 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.100000-8             	1000000000	         0.0616 ns/op	         0.000001 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.500000-8             	1000000000	         0.0609 ns/op	         0.000002 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.900000-8             	1000000000	         0.0607 ns/op	         0.633 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.990000-8             	1000000000	         0.0609 ns/op	         0.000078 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.999000-8             	1000000000	         0.0612 ns/op	         0.000000 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.000000-8        	1000000000	         0.0618 ns/op	         0.000000 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.100000-8        	1000000000	         0.0615 ns/op	         0.000087 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.500000-8        	1000000000	         0.0629 ns/op	         0.000184 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.900000-8        	1000000000	         0.0610 ns/op	         0.894 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.990000-8        	1000000000	         0.0611 ns/op	         0.000256 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.999000-8        	1000000000	         0.0625 ns/op	         0.000037 %diff	       0 B/op	       0 allocs/op
PASS
ok  	github.com/cep21/tdigestbench	73.627s
